,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
2296,002765,蓝黛传动,0.0,0.0,0.0,0.0,0.0,7.97,0.0,0.0,0.0,26.567,2.706,341818.954,129357.84215
2297,002763,汇洁股份,0.0,0.0,0.0,0.0,0.0,12.91,0.0,0.0,0.0,22.649,2.691,501940.8,150349.86
2298,002762,金发拉比,0.0,0.0,0.0,0.0,0.0,16.97,0.0,0.0,0.0,37.711,3.5140000000000002,345814.66,118031.313725
2299,002761,多喜爱,0.0,0.0,0.0,0.0,0.0,36.22,0.0,0.0,0.0,190.632,6.419,434640.0,202948.251712
2300,002760,凤形股份,0.0,0.0,0.0,0.0,0.0,23.04,0.0,0.0,0.0,-23.753,4.19,202752.0,105394.689792
2301,002759,天际股份,0.0,0.0,0.0,0.0,0.0,10.89,0.0,0.0,0.0,217.8,1.467,492424.001487,127810.917333
2302,002758,华通医药,0.0,0.0,0.0,0.0,0.0,10.35,0.0,0.0,0.0,51.75,3.696,217350.0,128457.247905
2303,002757,南兴装备,0.0,0.0,0.0,0.0,0.0,35.99,0.0,0.0,0.0,36.372,4.425,399618.564,144242.5215
2304,002756,永兴特钢,0.0,0.0,0.0,0.0,0.0,19.61,0.0,0.0,0.0,20.01,2.037,705960.0,362681.927879
2305,002755,东方新星,0.0,0.0,0.0,0.0,0.0,23.64,0.0,0.0,0.0,214.909,4.575,239567.76,209076.266268
2306,002753,永东股份,0.0,0.0,0.0,0.0,0.0,20.77,0.0,0.0,0.0,19.462,3.771,461253.420135,274907.576385
2307,002752,昇兴股份,0.0,0.0,0.0,0.0,0.0,7.91,0.0,0.0,0.0,71.909,3.621,659045.790529,134656.268635
2308,002751,易尚展示,0.0,0.0,0.0,0.0,0.0,36.18,0.0,0.0,0.0,106.412,6.0,559345.017834,334863.99
2309,002750,龙津药业,0.0,0.0,0.0,0.0,0.0,9.58,0.0,0.0,0.0,109.112,5.878,383679.0,380602.216308
2310,002749,国光股份,0.0,0.0,0.0,0.0,0.0,38.15,0.0,0.0,0.0,15.442,3.16,486412.5,313708.33508
