rule,totalCount,totalCountP,dateCount,dateCountP,d1cMean,d2cMean,d3cMean,d4cMean,d5cMean,d6cMean,d1hMean,d2hMean,d3hMean,d4hMean,d5hMean,d6hMean,day1cip,day1hip,day2cip,day2hip,day3cip,day3hip,day4cip,day4hip,day5cip,day5hip,day6cip,day6hip
rule+4+10-11,462988,12.55,1713,99.02,0.29,0.33,0.34,0.3,0.18,0.11,2.12,2.27,2.32,2.33,2.26,2.19,61.0,100.0,59.0,86.0,57.99999999999999,79.0,56.99999999999999,76.0,56.00000000000001,72.0,55.00000000000001,70.0
rule-5-6+10,2896186,78.49000000000001,1724,99.65,0.17,0.21,0.25,0.26,0.3,0.34,2.19,2.25,2.31,2.34,2.39,2.45,60.0,100.0,57.99999999999999,88.0,57.99999999999999,82.0,57.99999999999999,77.0,59.0,76.0,57.99999999999999,74.0
rule-5+7+10,270959,7.340000000000001,1592,92.02,0.25,0.38,0.38,0.29,0.2,0.16,1.87,2.11,2.2,2.16,2.08,2.04,56.99999999999999,100.0,57.99999999999999,82.0,56.99999999999999,76.0,56.00000000000001,73.0,55.00000000000001,70.0,55.00000000000001,68.0
rule-5+10-11,1922644,52.11,1724,99.65,0.25,0.36,0.43,0.47,0.49,0.5,2.08,2.25,2.37,2.44,2.5,2.53,62.0,100.0,61.0,87.0,60.0,82.0,60.0,77.0,60.0,75.0,59.0,74.0
rule-6+7+10,121183,3.2800000000000002,1491,86.18,0.18,0.38,0.41,0.3,0.25,0.21,1.8,2.1,2.23,2.19,2.11,2.09,55.00000000000001,100.0,56.00000000000001,81.0,56.99999999999999,74.0,55.00000000000001,71.0,54.0,69.0,54.0,67.0
rule-6+10-11,1463672,39.67,1724,99.65,0.23,0.35,0.39,0.4,0.43,0.43,2.07,2.23,2.34,2.39,2.44,2.48,62.0,100.0,60.0,87.0,59.0,81.0,60.0,77.0,59.0,75.0,57.99999999999999,73.0
rule+7+10-11,241911,6.5600000000000005,1570,90.75,0.27,0.45,0.49,0.42,0.32,0.28,1.87,2.17,2.31,2.29,2.21,2.17,56.99999999999999,100.0,57.99999999999999,83.0,56.99999999999999,76.0,56.00000000000001,73.0,55.00000000000001,70.0,55.00000000000001,68.0
rule+1-2-3+10,12153,0.33,340,19.650000000000002,0.83,0.59,0.42,0.3,0.18,0.14,3.82,3.64,3.6,3.45,3.34,3.14,64.0,100.0,59.0,75.0,55.00000000000001,70.0,56.99999999999999,70.0,59.0,67.0,56.00000000000001,66.0
rule+1-2+4+10,10528,0.29,347,20.06,0.86,1.85,2.55,3.1,3.52,3.99,3.54,4.74,5.61,6.18,6.61,7.13,61.0,100.0,62.0,79.0,61.0,75.0,60.0,73.0,64.0,71.0,63.0,73.0
rule+1-2-5+10,18860,0.51,448,25.900000000000002,0.8,1.17,1.44,1.7,1.87,2.17,3.54,4.02,4.43,4.78,4.93,5.15,62.0,100.0,60.0,77.0,56.00000000000001,72.0,57.99999999999999,70.0,60.0,69.0,57.99999999999999,69.0
rule+1-2-6+10,16643,0.44999999999999996,415,23.990000000000002,0.8,1.1,1.17,1.37,1.5,1.67,3.57,4.0,4.27,4.46,4.6,4.76,63.0,100.0,59.0,77.0,56.00000000000001,72.0,57.99999999999999,70.0,60.0,69.0,56.99999999999999,68.0
rule+1-2+7+10,5381,0.15,245,14.16,0.84,2.02,2.98,3.27,3.49,4.13,3.37,4.9,5.97,6.52,6.65,7.2,62.0,100.0,64.0,82.0,61.0,77.0,62.0,72.0,62.0,71.0,62.0,71.0
